id,price,sqft,bedrooms,bathrooms,age_years,neighborhood,sale_date,garage,school_rating
276,380868.0,1881.0,2,2.0,60,Suburbs,19-Jul-2020,no,10.0
94,343623.0,1139.0,5,2.0,25,Midtown,2020-03-08,TRUE,
7,,N/A,3,1.5,8,Rural,2020-01-05,yes,8.1
168,380796.0,,2,1.0,79,Rural,01-May-2020,TRUE,
91,403231.0,1311.0,5,2.0,9,Rural,2020-03-06,no,4.5
33,309021.0,1621.0,1,2.5,1,Downtown,24-Jan-2020,No,9.7
363,429986.0,1777.0,1,1.0,16,Rural,21-Sep-2020,yes,2.7
229,281741.0,1344.0,2,2.5,43,Downtown,2020-06-15,No,
193,319345.0,2181.0,1,1.5,59,Rural,2020-05-20,Y,1.6
483,357322.0,1892.0,2,2.5,75,Midtown,17-Dec-2020,N,
219,337640.0,1660.0,5,1.0,13,Midtown,08-Jun-2020,yes,6.3
181,454480.0,2127.0,3,1.5,27,Rural,2020-05-11,No,1.8
308,454004.0,1302.0,1,3.0,46,Downtown,08/12/2020,yes,7.6
484,396462.0,2094.0,1,1.5,57,Midtown,2020-12-18,N,5.9
11,420352.0,1176.0,5,1.5,35,Midtown,01/08/2020,yes,1.4
382,454764.0,2179.0,5,2.0,4,Downtown,2020-10-05,N,
372,,1397.0,1,3.0,1,Suburbs,27-Sep-2020,Y,6.0
31,-1000.0,,5,3.0,29,Suburbs,2020-01-22,Y,9.4
495,325306.0,1756.0,3,2.5,62,Midtown,26-Dec-2020,Yes,
138,417050.0,1355.0,5,1.5,65,Midtown,10-Apr-2020,TRUE,
156,491434.0,1928.0,4,2.5,61,Midtown,23-Apr-2020,no,
85,,2086.0,4,3.0,5,Rural,2020-03-02,TRUE,3.2
118,351748.0,1897.0,2,2.0,32,Midtown,2020-03-26,Yes,7.9
173,,1514.0,3,2.0,71,Midtown,05/05/2020,FALSE,
324,410070.0,TBD,2,3.0,15,Downtown,23-Aug-2020,TRUE,9.9
332,401003.0,2425.0,3,3.0,73,Midtown,08/29/2020,N,
80,325252.0,1945.0,5,1.5,8,Rural,02/27/2020,Y,1.1
453,506081.0,1991.0,2,1.5,66,Rural,25-Nov-2020,TRUE,
297,373680.0,2198.0,2,1.5,49,Rural,04-Aug-2020,Yes,4.4
254,271051.0,2620.0,4,3.0,51,Downtown,07/03/2020,no,2.8
250,256275.0,1443.0,4,2.5,2,Midtown,2020-06-30,No,2.8
341,166697.0,2562.0,3,1.0,5,Downtown,09/05/2020,Yes,2.3
334,268903.0,1648.0,3,2.5,78,Downtown,2020-08-31,Y,
10,5000.0,1986.0,1,2.0,35,Downtown,2020-01-07,Y,9.8
279,445291.0,1824.0,2,1.5,9,Rural,21-Jul-2020,yes,2.6
69,418638.0,2019.0,3,1.0,37,Downtown,19-Feb-2020,Yes,9.4
418,456215.0,2012.0,1,2.5,76,Downtown,2020-10-31,TRUE,
204,401515.0,1777.0,3,2.5,32,Downtown,28-May-2020,no,4.3
394,,1815.0,3,1.0,4,Suburbs,2020-10-13,yes,6.7
306,265768.0,2240.0,5,2.0,40,Rural,10-Aug-2020,N,2.5
300,376240.0,1816.0,1,1.5,9,Rural,06-Aug-2020,yes,4.9
348,397273.0,2141.0,2,3.0,70,Midtown,10-Sep-2020,No,
56,298890.0,1677.0,2,2.0,71,Rural,02/10/2020,N,
437,307288.0,1340.0,3,2.0,66,Suburbs,11/14/2020,Yes,
442,376293.0,2155.0,5,2.0,46,Midtown,2020-11-17,TRUE,2.3
159,310056.0,2285.0,2,2.0,59,Suburbs,25-Apr-2020,Yes,1.5
223,364126.0,888.0,2,2.5,19,Suburbs,2020-06-11,yes,8.1
256,412187.0,2254.0,5,3.0,62,Midtown,2020-07-05,no,
154,311095.0,,3,1.5,62,Midtown,2020-04-21,TRUE,
177,476327.0,TBD,3,1.5,61,Suburbs,08-May-2020,Y,
211,423272.0,1795.0,4,1.5,6,Downtown,2020-06-02,N,
290,341721.0,1740.0,2,2.0,42,Suburbs,07/29/2020,yes,
77,315820.0,2334.0,1,2.0,51,Rural,02/25/2020,no,
448,323481.0,628.0,3,1.5,72,Downtown,2020-11-22,N,
350,468076.0,2188.0,3,1.5,22,Rural,09/11/2020,N,1.4
149,435278.0,1866.0,2,2.0,78,Rural,04/18/2020,Yes,
447,435378.0,1934.0,4,2.0,13,Suburbs,21-Nov-2020,Y,
74,389773.0,1440.0,4,2.0,45,Suburbs,02/23/2020,Y,4.1
